Index;track_name;artist(s)_name;released_year;released_month;released_day
1;Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2023;7;14
2;LALA;Myke Towers;2023;3;23
3;vampire;Olivia Rodrigo;2023;6;30
4;Cruel Summer;Taylor Swift;2019;8;23
5;WHERE SHE GOES;Bad Bunny;2023;5;18
6;Sprinter;Dave, Central Cee;2023;6;1
7;Ella Baila Sola;Eslabon Armado, Peso Pluma;2023;3;16
8;Columbia;Quevedo;2023;7;7
9;fukumean;Gunna;2023;5;15
10;La Bebe - Remix;Peso Pluma, Yng Lvcas;2023;3;17
11;un x100to;Bad Bunny, Grupo Frontera;2023;4;17
12;Super Shy;NewJeans;2023;7;7
13;Flowers;Miley Cyrus;2023;1;12
14;Daylight;David Kushner;2023;4;14
15;As It Was;Harry Styles;2022;3;31
16;Kill Bill;SZA;2022;12;8
17;Cupid - Twin Ver.;Fifty Fifty;2023;2;24
18;"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;2023;7;13
19;Classy 101;Feid, Young Miko;2023;3;31
20;Like Crazy;Jimin;2023;3;24
21;LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;2023;6;22
22;I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ;Taylor Swift;2023;7;7
23;I Wanna Be Yours;Arctic Monkeys;2013;1;1
24;Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;2023;6;2
25;SABOR FRESA;Fuerza Regida;2023;6;22
26;Calm Down (with Selena Gomez);Rï¿½ï¿½ma, Selena G;2022;3;25
27;MOJABI GHOST;Tainy, Bad Bunny;2023;6;29
28;Last Night;Morgan Wallen;2023;1;31
29;Dance The Night (From Barbie The Album);Dua Lipa;2023;5;25
30;Rush;Troye Sivan;2023;7;13
31;TULUM;Peso Pluma, Grupo Frontera;2023;6;28
32;Creepin';The Weeknd, 21 Savage, Metro Boomin;2022;12;2
33;Anti-Hero;Taylor Swift;2022;10;21
34;TQG;Karol G, Shakira;2023;2;23
35;Los del Espacio;Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk;2023;6;1
36;Frï¿½ï¿½gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2023;4;7
37;Blank Space;Taylor Swift;2014;1;1
38;Style;Taylor Swift;2014;1;1
39;TQM;Fuerza Regida;2023;5;19
40;El Azul;Junior H, Peso Pluma;2023;2;10
41;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2018;10;9
42;I'm Good (Blue);Bebe Rexha, David Guetta;2022;8;26
43;See You Again;Tyler, The Creator, Kali Uchis;2017;7;21
44;Barbie World (with Aqua) [From Barbie The Album];Nicki Minaj, Aqua, Ice Spice;2023;6;23
45;Angels Like You;Miley Cyrus;2020;11;27
46;I Ain't Worried;OneRepublic;2022;5;13
47;Die For You;The Weeknd;2016;11;24
48;Starboy;The Weeknd, Daft Punk;2016;9;21
49;Die For You - Remix;Ariana Grande, The Weeknd;2023;2;24
50;El Cielo;Feid, Myke Towers, Sky Rompiendo;2023;6;2
51;Baby Don't Hurt Me;David Guetta, Anne-Marie, Coi Leray;2023;4;6
52;AMARGURA;Karol G;2023;2;24
53;(It Goes Like) Nanana - Edit;Peggy Gou;2023;6;15
54;Another Love;Tom Odell;2012;10;15
55;Blinding Lights;The Weeknd;2019;11;29
56;Moonlight;Kali Uchis;2023;2;24
57;La Bachata;Manuel Turizo;2022;5;26
58;S91;Karol G;2023;7;14
59;cardigan;Taylor Swift;2020;7;24
60;Tï¿½ï¿;dennis, MC Kevin o Chris;2023;5;4
61;Boy's a liar Pt. 2;PinkPantheress, Ice Spice;2023;2;3
62;Left and Right (Feat. Jung Kook of BTS);Charlie Puth, BTS, Jung Kook;2022;6;24
63;BESO;Rauw Alejandro, ROSALï¿½;2023;3;24
64;Hey Mor;Ozuna, Feid;2022;10;6
65;Yellow;Chris Molitor;1999;1;1
66;Karma;Taylor Swift;2022;10;21
67;People;Libianca;2022;12;2
68;Overdrive;Post Malone;2023;7;14
69;Enchanted (Taylor's Version);Taylor Swift;2023;7;7
70;BABY HELLO;Rauw Alejandro, Bizarrap;2023;6;23
71;Heat Waves;Glass Animals;2020;6;28
72;golden hour;JVKE;2022;7;15
73;Sweater Weather;The Neighbourhood;2012;5;14
74;Viva La Vida;Coldplay;2008;1;1
75;Here With Me;d4vd;2022;7;17
76;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2022;9;22
77;Yandel 150;Yandel, Feid;2022;12;20
78;CORAZï¿½ï¿½N VA;Maria Becerra;2023;6;22
79;Riptide;Vance Joy;1975;1;1
80;Until I Found You (with Em Beihold) - Em Beihold Version;Em Beihold, Stephen Sanchez;2022;4;22
81;Novidade na ï¿½ï¿;Mc Livinho, DJ Matt D;2023;6;23
82;Back To December (Taylor's Version);Taylor Swift;2023;7;7
83;STAY (with Justin Bieber);Justin Bieber, The Kid Laroi;2021;7;9
84;El Merengue;Marshmello, Manuel Turizo;2023;3;3
85;Someone You Loved;Lewis Capaldi;2018;11;8
86;Me Porto Bonito;Chencho Corleone, Bad Bunny;2022;5;6
87;Makeba;Jain;2015;6;22
88;MONTAGEM - FR PUNK;Ayparia, unxbected;2012;6;20
89;Fast Car;Luke Combs;2023;3;24
90;What It Is (Solo Version);Doechii;2023;3;17
91;Coco Chanel;Bad Bunny, Eladio Carrion;2023;3;17
92;Donï¿½ï¿½ï¿½t Bl;Taylor Swift;2017;11;8
93;Still With You;Jung Kook;2020;6;5
