Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
1;80;89;83;31;0;8;4
2;71;61;74;7;0;10;4
3;51;32;53;17;0;31;6
4;55;58;72;11;0;11;15
5;65;23;80;14;63;11;6
6;92;66;58;19;0;8;24
7;67;83;76;48;0;8;3
8;67;26;71;37;0;11;4
9;85;22;62;12;0;28;9
10;81;56;48;21;0;8;33
11;57;56;72;23;0;27;5
12;78;52;82;18;0;15;7
13;71;65;68;6;0;3;7
14;51;32;43;83;0;9;3
15;52;66;73;34;0;31;6
16;64;43;73;5;17;16;4
17;78;76;59;43;0;34;3
18;44;14;9;96;0;10;3
19;86;67;66;14;0;12;16
20;63;36;73;0;0;36;4
21;65;87;74;22;0;42;4
22;69;82;76;6;0;6;3
23;48;44;42;12;2;11;3
24;85;83;68;7;0;36;20
25;79;96;86;9;0;9;9
26;80;82;80;43;0;14;4
27;81;74;71;14;0;56;4
28;52;52;68;46;0;15;4
29;67;78;85;2;0;33;5
30;74;35;84;0;0;11;6
31;56;63;87;39;0;11;5
32;71;17;61;36;0;8;5
33;64;51;63;12;0;19;5
34;72;61;63;67;0;9;28
35;81;63;68;11;0;11;4
36;61;39;73;37;0;11;3
37;75;57;68;9;0;13;6
38;60;48;79;0;0;12;4
39;79;96;85;27;0;11;6
40;56;84;65;23;0;10;6
41;76;91;50;54;0;7;5
42;56;38;97;4;0;35;4
43;56;58;56;37;0;11;10
44;77;75;58;52;0;23;25
45;67;49;64;10;0;10;3
46;71;82;81;11;0;6;5
47;59;51;52;9;0;15;7
48;68;49;59;16;0;13;28
49;53;50;53;23;0;44;7
50;72;17;64;7;0;10;5
51;60;23;91;0;0;12;3
52;92;55;70;18;0;15;7
53;67;96;88;12;19;8;4
54;45;13;54;70;0;9;4
55;50;38;80;0;0;9;7
56;64;88;72;51;0;17;5
57;84;85;68;58;0;22;4
58;86;42;72;59;0;9;19
59;61;53;58;55;0;27;4
60;86;59;96;50;1;9;5
61;70;86;81;25;0;25;5
62;88;72;59;62;0;9;3
63;77;53;64;74;0;17;14
64;90;40;59;0;0;10;29
65;43;28;66;0;0;23;3
66;64;10;62;7;0;48;7
67;59;71;42;55;0;10;7
68;56;48;73;0;0;35;4
69;51;22;53;1;0;15;3
70;77;84;89;17;0;43;5
71;76;53;53;44;0;9;9
72;51;14;59;65;18;25;3
73;61;41;81;5;2;10;3
74;49;42;62;9;0;11;3
75;58;27;48;50;0;12;3
76;71;24;47;1;0;27;9
77;78;58;73;5;0;10;7
78;68;40;79;33;0;30;6
79;48;50;73;43;0;15;4
80;34;32;57;78;0;20;3
81;63;36;34;76;0;35;9
82;50;20;64;1;0;12;3
83;59;48;76;4;0;10;5
84;78;70;68;3;1;11;4
85;50;45;41;75;0;11;3
86;91;43;71;9;0;9;8
87;82;40;66;39;51;25;7
88;63;84;82;70;8;9;7
89;71;67;60;19;0;12;3
90;74;76;76;6;0;10;9
91;68;14;76;4;0;10;4
92;62;19;53;11;0;6;4
93;53;34;47;9;0;83;4
94;83;69;44;15;0;10;33
95;49;17;35;71;9;11;3
96;56;39;55;14;0;11;13
97;56;24;66;7;0;12;3
98;62;57;59;3;0;38;3
99;43;50;55;50;0;15;10
100;68;17;71;15;0;11;5
101;50;37;90;0;0;12;5
102;62;24;67;21;0;13;28
103;81;53;72;51;0;12;5
104;54;50;40;61;0;10;6
105;80;92;80;4;0;10;3
106;61;45;69;2;0;9;3
107;77;65;72;2;0;7;5
108;61;47;68;0;0;13;3
109;74;37;53;7;0;21;10
110;51;18;44;76;0;11;3
111;77;79;62;33;1;15;3
112;65;49;78;0;0;17;4
113;64;54;81;36;0;11;6
114;70;47;52;30;0;6;33
115;55;30;78;24;0;12;8
116;84;96;71;18;0;34;17
117;82;89;85;4;0;23;6
118;51;42;61;53;0;9;3
119;75;79;63;33;0;15;4
120;64;31;87;4;4;8;4
121;74;68;68;3;0;26;4
122;49;78;64;19;0;11;4
123;81;39;60;31;0;7;3
124;87;57;55;10;0;29;7
125;63;88;93;3;0;10;8
126;55;56;82;12;0;34;5
127;35;12;30;93;0;10;3
128;82;69;83;3;0;27;5
129;80;74;77;36;0;11;4
130;42;20;86;21;0;9;9
131;52;20;85;0;0;7;5
132;75;48;53;18;0;18;34
133;76;96;72;32;0;9;4
134;60;17;45;16;0;11;2
135;56;20;55;45;1;32;3
136;77;74;78;4;0;23;11
137;84;65;50;67;0;13;6
138;92;67;66;0;0;36;9
139;79;92;89;5;0;6;5
140;59;52;48;38;5;10;11
141;65;27;69;8;0;53;4
142;45;33;59;6;0;8;3
143;60;24;35;73;0;31;3
144;74;96;80;18;0;5;5
145;81;90;77;1;0;9;5
146;78;70;81;57;0;10;5
147;47;86;92;8;0;5;24
148;69;61;71;33;0;31;20
149;73;87;70;6;0;28;5
150;50;85;52;11;0;28;6
151;54;40;67;0;0;9;17
152;66;48;71;6;0;12;4
153;61;41;74;21;0;40;6
154;73;31;69;6;0;11;4
155;78;89;83;10;0;12;5
156;86;74;80;33;0;8;6
157;77;36;63;1;0;36;5
158;45;24;62;8;0;16;3
159;68;61;82;2;0;50;3
160;68;51;60;3;0;19;10
161;82;73;45;54;0;7;3
162;45;10;37;97;25;64;4
163;73;60;77;3;0;11;4
164;60;43;27;94;0;14;4
165;65;51;55;73;0;14;3
166;55;42;53;17;0;22;3
167;33;38;71;20;0;28;5
168;57;84;94;11;0;37;9
169;71;40;50;16;0;16;22
170;65;95;80;5;0;41;16
171;70;81;63;4;0;8;4
172;56;53;64;11;0;45;6
173;83;93;65;58;0;9;8
174;67;40;52;86;0;12;4
175;70;37;54;6;0;9;8
176;53;12;34;1;0;12;4
177;34;24;56;4;0;11;3
178;37;17;47;2;46;11;3
179;74;36;63;26;0;27;5
180;54;54;55;67;0;42;11
181;70;59;75;24;0;9;4
182;63;46;85;1;0;9;5
183;57;41;66;63;0;12;5
184;54;75;60;30;0;7;5
185;63;49;73;5;0;9;3
186;65;19;72;10;0;13;25
187;50;67;89;0;0;19;8
188;48;37;41;32;0;10;10
189;74;76;70;7;0;13;3
190;84;52;77;12;0;7;4
191;62;55;80;15;0;37;7
192;81;18;64;3;0;10;11
193;57;86;90;2;0;9;5
