Client ID;Location ;Date;Products;;;;;;
1;Ankeny, IA;04/01/2023;1,12,16,14;;;;;;
2;Phoenix, AZ;27/05/2023;25,8,24,5;;;;;;
3;Baton Rouge, LA;25/02/2023;25,12,19,20;;;;;;
4;Maumee, OH;05/06/2023;8,21,12,4;;;;;;
5;Laurinburg, NC;03/05/2023;1,23,22,14;;;;;;
6;Texas City, TX;28/01/2023;10,8,1,20;;;;;;
7;West Palm Beach, FL;13/02/2023;17,5,20,4;;;;;;
8;Torrance, CA;16/04/2023;24,22,12,8;;;;;;
9;Chester, PA;10/06/2023;21,3,15,24;;;;;;
10;Waterville, OH;18/06/2023;6,1,2,4;;;;;;
1;Ankeny, IA;04/04/2023;24,24,6,24;;;;;;
2;Phoenix, AZ;24/04/2023;15,5,4,19;;;;;;
3;Baton Rouge, LA;04/05/2023;11,25,16,4;;;;;;
4;Maumee, OH;16/06/2023;1,8,7,9;;;;;;
5;Laurinburg, NC;09/01/2023;1,25,9,7;;;;;;
6;Texas City, TX;01/05/2023;14,15,5,20;;;;;;
7;West Palm Beach, FL;24/01/2023;11,6,23,2;;;;;;
8;Torrance, CA;23/05/2023;5,2,11,23;;;;;;
9;Chester, PA;23/03/2023;7,7,25,22;;;;;;
10;Waterville, OH;26/01/2023;13,22,3,6;;;;;;
1;Ankeny, IA;12/05/2023;10,16,9,4;;;;;;
2;Phoenix, AZ;21/03/2023;11,8,17,4;;;;;;
3;Baton Rouge, LA;22/03/2023;6,3,1,19;;;;;;
4;Maumee, OH;17/01/2023;25,24,11,9;;;;;;
5;Laurinburg, NC;12/05/2023;4,19,5,19;;;;;;
6;Texas City, TX;22/01/2023;20,12,3,15;;;;;;
7;West Palm Beach, FL;14/02/2023;24,14,16,24;;;;;;
8;Torrance, CA;15/03/2023;15,14,3,23;;;;;;
9;Chester, PA;18/06/2023;16,17,19,10;;;;;;
10;Waterville, OH;25/01/2023;13,9,18,17;;;;;;
1;Ankeny, IA;19/03/2023;10,16,10,7;;;;;;
2;Phoenix, AZ;26/06/2023;18,25,24,3;;;;;;
3;Baton Rouge, LA;01/05/2023;9,16,17,10;;;;;;
4;Maumee, OH;16/02/2023;9,11,5,25;;;;;;
5;Laurinburg, NC;06/02/2023;6,2,13,5;;;;;;
6;Texas City, TX;12/01/2023;20,16,21,24;;;;;;
7;West Palm Beach, FL;16/01/2023;9,17,22,24;;;;;;
8;Torrance, CA;18/06/2023;16,8,16,7;;;;;;
9;Chester, PA;01/01/2023;22,23,9,20;;;;;;
10;Waterville, OH;20/01/2023;24,10,2,7;;;;;;
1;Ankeny, IA;10/06/2023;25,13,18,3;;;;;;
2;Phoenix, AZ;02/05/2023;8,2,14,21;;;;;;
3;Baton Rouge, LA;12/05/2023;11,9,13,18;;;;;;
4;Maumee, OH;31/01/2023;12,17,21,1;;;;;;
5;Laurinburg, NC;09/01/2023;23,7,22,3;;;;;;
6;Texas City, TX;21/01/2023;11,4,9,13;;;;;;
7;West Palm Beach, FL;29/03/2023;4,22,17,20;;;;;;
